"Gorovje"
"Cordillera"
"Prealps"
"osamelec"
"Alborz"
"Pyrenees"
"Alps"
"Andes"
"Sierra Nevada (Mex)"
"Apennines"
"Carpathians"
"Appalachians"
"Highlands of Iceland"
"Grampian Range"
"Kamchatka"
"Apo–Talomo"
"Rocky Mountains"
"Canadian Rockies"
"Caucasus"
"North Island volcanoes"
"Ethiopian Highlands"
"Scandinavian Mts"
"Hispaniola"
"Cascade Range"
"Sierra Nevada (U.S.)"
"Barisan Mountains"
"Taupo Volcanic Zone"
"Mindanao"
"Himalayas"
"Crocker Range"
"Owen Stanley Range"
"Kilimanjaro"
"Columbia Mts"
"Southern Alps"
"Saint Elias Mts"
"Mount Kenya"
"Virunga Mountains"
"Rwenzori Mts"
"Olympic Mts"
"Transantarctic Mts"
"Alaska Range"
"Mount Elgon"
"Wrangell Mts"
"Saruwaged Range"
"Maoke Mountains"
"Altai Mountains"
"Atlas Mountains"
"Pamir Mountains"
"Tian Shan"
"Hoggar"
"Daxue Shan"
"Pamirs"
"Karakoram"
"Watkins Range"
"Coast Mountains"
"Chugach Mts"
"Bismarck Range"
"Sra Nevada de Sta Marta"
"Patagonia"
"Hindu Kush"
"Baffin Mountains"
"Karakorum"
"Kunlun Mountains"
"Patagonian Andes"
"Mackenzie Mts"
"Utah"
"Brooks Range"
"South Georgia"
"Lord Howe Island"
"Guiana Highlands"
"Orkney Islands"
"Ellsworth Mts"
"Arctic Cordillera"
"Mount Satseto"
"Admiralty Mts"
"Marie Byrd Land"
"Alexandra Range"
"Queen Maud Land"
"South Shetland"
"Nyenchen Tanglha"
